-40.64458238,-4.72541586
-40.64458238,-4.72624919
-40.64374905,-4.72624919
-40.64374905,-4.72708253
-40.64291571,-4.72708253
-40.64291571,-4.72958253
-40.64208238,-4.72958253
-40.64208238,-4.73041586
-40.64291571,-4.73041586
-40.64291571,-4.73124919
-40.64374905,-4.73124919
-40.64374905,-4.73208253
-40.64458238,-4.73208253
-40.64458238,-4.73291586
-40.64624905,-4.73291586
-40.64624905,-4.73541586
-40.64708238,-4.73541586
-40.64708238,-4.73708253
-40.64624905,-4.73708253
-40.64624905,-4.74291586
-40.64708238,-4.74291586
-40.64708238,-4.74708253
-40.64791571,-4.74708253
-40.64791571,-4.74791586
-40.64708238,-4.74791586
-40.64708238,-4.74874919
-40.64791571,-4.74874919
-40.64791571,-4.74958253
-40.64291571,-4.74958253
-40.64291571,-4.75041586
-40.64208238,-4.75041586
-40.64208238,-4.75124919
-40.64124905,-4.75124919
-40.64124905,-4.75458253
-40.64208238,-4.75458253
-40.64208238,-4.75541586
-40.64124905,-4.75541586
-40.64124905,-4.75624919
-40.63958238,-4.75624919
-40.63958238,-4.75708253
-40.63874905,-4.75708253
-40.63874905,-4.75958253
-40.63791571,-4.75958253
-40.63791571,-4.76041586
-40.63708238,-4.76041586
-40.63708238,-4.7612492
-40.63624905,-4.7612492
-40.63624905,-4.7637492
-40.63541571,-4.7637492
-40.63541571,-4.7687492
-40.63624905,-4.7687492
-40.63624905,-4.76958253
-40.63708238,-4.76958253
-40.63708238,-4.7712492
-40.63541571,-4.7712492
-40.63541571,-4.77291586
-40.63458238,-4.77291586
-40.63458238,-4.77458253
-40.63541571,-4.77458253
-40.63541571,-4.77541586
-40.63624905,-4.77541586
-40.63624905,-4.77708253
-40.63541571,-4.77708253
-40.63541571,-4.77791586
-40.63458238,-4.77791586
-40.63458238,-4.7787492
-40.63374905,-4.7787492
-40.63374905,-4.77958253
-40.63291571,-4.77958253
-40.63291571,-4.78041586
-40.63208238,-4.78041586
-40.63208238,-4.7812492
-40.62874905,-4.7812492
-40.62874905,-4.79041586
-40.62791571,-4.79041586
-40.62791571,-4.7912492
-40.62708238,-4.7912492
-40.62708238,-4.79208253
-40.62791571,-4.79208253
-40.62791571,-4.79458253
-40.62874905,-4.79458253
-40.62874905,-4.7962492
-40.62791571,-4.7962492
-40.62791571,-4.79791586
-40.62708238,-4.79791586
-40.62708238,-4.80041586
