date,agg_mean__avg_pr,avg_q
1984-05-01,2.404101063650351,44.2399
1984-06-01,0.4474718873808826,6.4629
1984-07-01,0.3528174719471689,2.6192
1984-08-01,0.0172224933800136,1.3281
1984-09-01,0.0621015438833892,0.5257
1984-10-01,0.9312317961707464,0.0581
1984-11-01,0.3648449406261219,0.0127
1984-12-01,0.1644915036317802,0.0
1985-01-01,6.001921499539917,66.6455
1985-02-01,8.326829683162803,349.7225
1985-03-01,9.930761152574505,427.9271
1985-04-01,10.854179447031749,1055.5
1985-05-01,3.209280395505037,288.0989
1985-06-01,1.6247867833996883,38.995
1985-07-01,0.6144788278396957,15.0416
1985-08-01,0.041635745563293,5.7918
1985-09-01,0.0184602896170515,3.237
1985-10-01,0.0,2.0165
1985-11-01,0.0,1.51
1985-12-01,3.8202335888179855,20.7574
1986-01-01,2.554639772424149,16.2927
1986-02-01,6.513645142552599,88.7082
1986-03-01,10.411885335079036,532.0956
1986-04-01,5.6653437855206485,353.567
1986-05-01,2.0036387004521425,77.4074
1986-06-01,1.0214898796588952,22.4193
1986-07-01,0.2941082152587505,9.3836
1986-08-01,0.2318584226150981,4.538
1986-09-01,0.0106537682179904,2.8388
1986-10-01,0.0565220745325504,1.9187
1986-11-01,0.0209067585167136,1.414
1986-12-01,0.4508734520663496,1.171
1987-01-01,0.3750826843870498,1.3684
1987-02-01,2.164811269263719,4.6775
1987-03-01,8.205895296068508,61.2484
1987-04-01,1.2388349659058848,42.9752
1987-05-01,0.5048932214721652,6.2352
1987-06-01,1.047468187919505,2.7377
1987-07-01,0.1205241521675964,1.7268
1987-08-01,0.0,0.9019
1987-09-01,0.0018179790014533,0.4407
1987-10-01,0.0049847811330172,0.349
1987-11-01,0.0013937839011142,0.044
1987-12-01,0.0,0.0032
1988-01-01,1.7783516655649387,4.3332
1988-02-01,1.89508701405304,4.4024
1988-03-01,11.102780087594711,157.1659
1988-04-01,7.9142498806309876,311.6013
1988-05-01,2.1681563821427514,62.6345
1988-06-01,0.4995444837657197,8.1099
1988-07-01,0.0469664958008036,3.8052
1988-08-01,0.0,1.579
1988-09-01,0.0,0.7757
1988-10-01,0.0,0.4181
1988-11-01,0.056407843218445,0.2587
1988-12-01,3.130230604852166,4.6116
1989-01-01,1.9842940482889249,2.4055
1989-02-01,1.4737916293020203,2.1814
1989-03-01,6.506227109889492,63.5871
1989-04-01,12.13001791926422,483.4382
1989-05-01,6.179677331643875,338.0885
